Time, Probe1 ºF, Probe 2 ºF, Probe 3 ºF, Probe 4 ºF
Sep 8  2019  7:27:42 AM,159.2, No Probe, No Probe,227.4
Sep 8  2019  7:27:52 AM,159.2, No Probe, No Probe,226.5
Sep 8  2019  7:28:04 AM,159.2, No Probe, No Probe,226.5
Sep 8  2019  7:28:14 AM,159.2, No Probe, No Probe,226.1
Sep 8  2019  7:28:24 AM,159.2, No Probe, No Probe,226.0
Sep 8  2019  7:28:34 AM,159.3, No Probe, No Probe,225.3
Sep 8  2019  7:28:44 AM,159.2, No Probe, No Probe,224.5
Sep 8  2019  7:28:54 AM,159.2, No Probe, No Probe,223.9
Sep 8  2019  7:29:04 AM,159.1, No Probe, No Probe,222.9
Sep 8  2019  7:29:14 AM,159.1, No Probe, No Probe,222.7
Sep 8  2019  7:29:24 AM,159.1, No Probe, No Probe,222.3
Sep 8  2019  7:29:34 AM,159.1, No Probe, No Probe,221.5
Sep 8  2019  7:29:44 AM,159.2, No Probe, No Probe,221.5
Sep 8  2019  7:29:54 AM,159.1, No Probe, No Probe,220.2
Sep 8  2019  7:30:04 AM,159.2, No Probe, No Probe,220.0
Sep 8  2019  7:30:14 AM,159.2, No Probe, No Probe,220.3
Sep 8  2019  7:30:24 AM,159.1, No Probe, No Probe,220.0
Sep 8  2019  7:30:34 AM,159.2, No Probe, No Probe,219.6
Sep 8  2019  7:30:44 AM,159.1, No Probe, No Probe,219.5
Sep 8  2019  7:30:54 AM,159.1, No Probe, No Probe,219.4
Sep 8  2019  7:31:04 AM,159.1, No Probe, No Probe,219.6
Sep 8  2019  7:31:14 AM,159.2, No Probe, No Probe,219.6
Sep 8  2019  7:31:24 AM,159.1, No Probe, No Probe,219.8
Sep 8  2019  7:31:34 AM,159.1, No Probe, No Probe,219.8
Sep 8  2019  7:31:44 AM,159.2, No Probe, No Probe,220.2
Sep 8  2019  7:31:54 AM,159.2, No Probe, No Probe,220.6
Sep 8  2019  7:32:04 AM,159.3, No Probe, No Probe,221.1
Sep 8  2019  7:32:14 AM,159.2, No Probe, No Probe,221.5
Sep 8  2019  7:32:24 AM,159.3, No Probe, No Probe,222.2
Sep 8  2019  7:32:34 AM,159.3, No Probe, No Probe,222.5
Sep 8  2019  7:32:44 AM,159.3, No Probe, No Probe,223.4
Sep 8  2019  7:32:54 AM,159.3, No Probe, No Probe,223.7
Sep 8  2019  7:33:04 AM,159.3, No Probe, No Probe,223.8
Sep 8  2019  7:33:14 AM,159.3, No Probe, No Probe,223.8
Sep 8  2019  7:33:24 AM,159.3, No Probe, No Probe,224.3
Sep 8  2019  7:33:34 AM,159.3, No Probe, No Probe,225.3
Sep 8  2019  7:33:44 AM,159.3, No Probe, No Probe,225.9
Sep 8  2019  7:33:55 AM,159.3, No Probe, No Probe,227.2
Sep 8  2019  7:34:01 AM,159.3, No Probe, No Probe,228.0
Sep 8  2019  7:34:11 AM,159.4, No Probe, No Probe,228.9
Sep 8  2019  7:34:21 AM,159.4, No Probe, No Probe,229.0
Sep 8  2019  7:34:31 AM,159.3, No Probe, No Probe,229.7
Sep 8  2019  7:34:41 AM,159.4, No Probe, No Probe,229.9
Sep 8  2019  7:34:51 AM,159.4, No Probe, No Probe,230.1
Sep 8  2019  7:35:01 AM,159.4, No Probe, No Probe,230.0
Sep 8  2019  7:35:11 AM,159.4, No Probe, No Probe,229.6
Sep 8  2019  7:35:21 AM,159.4, No Probe, No Probe,229.0
Sep 8  2019  7:35:31 AM,159.4, No Probe, No Probe,229.0
Sep 8  2019  7:35:41 AM,159.4, No Probe, No Probe,228.5
Sep 8  2019  7:35:51 AM,159.4, No Probe, No Probe,228.7
Sep 8  2019  7:36:01 AM,159.5, No Probe, No Probe,228.3
Sep 8  2019  7:36:11 AM,159.4, No Probe, No Probe,228.5
Sep 8  2019  7:36:21 AM,159.4, No Probe, No Probe,227.9
Sep 8  2019  7:36:32 AM,159.5, No Probe, No Probe,227.6
Sep 8  2019  7:36:41 AM,159.5, No Probe, No Probe,226.9
Sep 8  2019  7:36:51 AM,159.5, No Probe, No Probe,226.7
Sep 8  2019  7:37:01 AM,159.5, No Probe, No Probe,227.0
Sep 8  2019  7:37:11 AM,159.5, No Probe, No Probe,226.5
Sep 8  2019  7:37:21 AM,159.5, No Probe, No Probe,225.9
Sep 8  2019  7:37:31 AM,159.5, No Probe, No Probe,225.8
Sep 8  2019  7:37:41 AM,159.5, No Probe, No Probe,225.0
Sep 8  2019  7:37:51 AM,159.5, No Probe, No Probe,224.7
Sep 8  2019  7:38:01 AM,159.5, No Probe, No Probe,224.3
Sep 8  2019  7:38:11 AM,159.5, No Probe, No Probe,223.8
Sep 8  2019  7:38:21 AM,159.5, No Probe, No Probe,223.8
Sep 8  2019  7:38:31 AM,159.6, No Probe, No Probe,223.8
Sep 8  2019  7:38:41 AM,159.5, No Probe, No Probe,223.6
Sep 8  2019  7:38:51 AM,159.5, No Probe, No Probe,223.3
Sep 8  2019  7:39:01 AM,159.6, No Probe, No Probe,223.0
Sep 8  2019  7:39:11 AM,159.5, No Probe, No Probe,222.5
Sep 8  2019  7:39:21 AM,159.5, No Probe, No Probe,222.1
Sep 8  2019  7:39:31 AM,159.5, No Probe, No Probe,222.2
Sep 8  2019  7:39:41 AM,159.6, No Probe, No Probe,222.3
Sep 8  2019  7:39:55 AM,159.6, No Probe, No Probe,222.9
Sep 8  2019  7:40:06 AM,159.6, No Probe, No Probe,222.7
Sep 8  2019  7:40:15 AM,159.6, No Probe, No Probe,223.4
Sep 8  2019  7:40:25 AM,159.6, No Probe, No Probe,223.9
Sep 8  2019  7:40:35 AM,159.7, No Probe, No Probe,223.7
Sep 8  2019  7:40:45 AM,159.6, No Probe, No Probe,224.3
Sep 8  2019  7:40:55 AM,159.6, No Probe, No Probe,225.5
Sep 8  2019  7:41:05 AM,159.7, No Probe, No Probe,225.6
Sep 8  2019  7:41:15 AM,159.7, No Probe, No Probe,226.5
Sep 8  2019  7:41:25 AM,159.7, No Probe, No Probe,226.9
Sep 8  2019  7:41:35 AM,159.7, No Probe, No Probe,227.0
Sep 8  2019  7:41:45 AM,159.7, No Probe, No Probe,227.1
Sep 8  2019  7:41:55 AM,159.7, No Probe, No Probe,227.6
Sep 8  2019  7:42:05 AM,159.7, No Probe, No Probe,227.6
Sep 8  2019  7:42:15 AM,159.8, No Probe, No Probe,227.9
Sep 8  2019  7:42:25 AM,159.7, No Probe, No Probe,227.9
Sep 8  2019  7:42:35 AM,159.7, No Probe, No Probe,227.9
Sep 8  2019  7:42:45 AM,159.8, No Probe, No Probe,228.1
Sep 8  2019  7:42:55 AM,159.8, No Probe, No Probe,227.8
Sep 8  2019  7:43:05 AM,159.9, No Probe, No Probe,227.5
Sep 8  2019  7:43:15 AM,159.9, No Probe, No Probe,227.9
Sep 8  2019  7:43:26 AM,159.8, No Probe, No Probe,227.6
Sep 8  2019  7:43:35 AM,159.8, No Probe, No Probe,227.3
Sep 8  2019  7:43:45 AM,159.9, No Probe, No Probe,228.8
Sep 8  2019  7:43:56 AM,159.9, No Probe, No Probe,232.4
Sep 8  2019  7:44:05 AM,159.9, No Probe, No Probe,234.8
Sep 8  2019  7:44:15 AM,159.9, No Probe, No Probe,240.1
Sep 8  2019  7:44:26 AM,159.9, No Probe, No Probe,242.9
Sep 8  2019  7:44:36 AM,159.9, No Probe, No Probe,245.6
Sep 8  2019  7:44:45 AM,159.9, No Probe, No Probe,248.3
Sep 8  2019  7:44:55 AM,159.9, No Probe, No Probe,249.6
Sep 8  2019  7:45:05 AM,159.9, No Probe, No Probe,249.7
Sep 8  2019  7:45:15 AM,160.0, No Probe, No Probe,252.5
Sep 8  2019  7:45:25 AM,159.9, No Probe, No Probe,255.6
Sep 8  2019  7:45:35 AM,160.0, No Probe, No Probe,258.4
Sep 8  2019  7:45:46 AM,160.0, No Probe, No Probe,261.3
Sep 8  2019  7:45:59 AM,160.0, No Probe, No Probe,264.0
Sep 8  2019  7:46:09 AM,160.0, No Probe, No Probe,265.4
Sep 8  2019  7:46:19 AM,160.0, No Probe, No Probe,265.4
Sep 8  2019  7:46:29 AM,160.0, No Probe, No Probe,265.2
Sep 8  2019  7:46:39 AM,160.0, No Probe, No Probe,265.5
Sep 8  2019  7:46:49 AM,160.0, No Probe, No Probe,265.1
Sep 8  2019  7:46:59 AM,160.0, No Probe, No Probe,264.0
Sep 8  2019  7:47:09 AM,160.0, No Probe, No Probe,263.0
Sep 8  2019  7:47:19 AM,160.0, No Probe, No Probe,261.8
Sep 8  2019  7:47:29 AM,160.0, No Probe, No Probe,261.0
Sep 8  2019  7:47:39 AM,160.0, No Probe, No Probe,259.5
Sep 8  2019  7:47:49 AM,160.0, No Probe, No Probe,257.3
Sep 8  2019  7:48:00 AM,160.0, No Probe, No Probe,256.5
Sep 8  2019  7:48:09 AM,160.1, No Probe, No Probe,255.1
Sep 8  2019  7:48:19 AM,160.1, No Probe, No Probe,253.9
Sep 8  2019  7:48:30 AM,160.1, No Probe, No Probe,253.3
Sep 8  2019  7:48:39 AM,160.0, No Probe, No Probe,252.6
Sep 8  2019  7:48:49 AM,160.1, No Probe, No Probe,251.4
Sep 8  2019  7:48:59 AM,160.1, No Probe, No Probe,250.7
Sep 8  2019  7:49:09 AM,160.1, No Probe, No Probe,249.6
Sep 8  2019  7:49:19 AM,160.1, No Probe, No Probe,248.7
Sep 8  2019  7:49:29 AM,160.1, No Probe, No Probe,247.9
Sep 8  2019  7:49:39 AM,160.1, No Probe, No Probe,247.3
Sep 8  2019  7:49:49 AM,160.1, No Probe, No Probe,247.1
Sep 8  2019  7:49:59 AM,160.1, No Probe, No Probe,246.4
Sep 8  2019  7:50:09 AM,160.1, No Probe, No Probe,245.6
Sep 8  2019  7:50:19 AM,160.1, No Probe, No Probe,245.1
Sep 8  2019  7:50:29 AM,160.2, No Probe, No Probe,243.1
Sep 8  2019  7:50:39 AM,160.1, No Probe, No Probe,211.0
Sep 8  2019  7:50:49 AM,160.1, No Probe, No Probe,180.2
Sep 8  2019  7:50:59 AM,160.2, No Probe, No Probe,182.5
Sep 8  2019  7:51:09 AM,160.2, No Probe, No Probe,186.6
Sep 8  2019  7:51:19 AM,160.1, No Probe, No Probe,193.8
Sep 8  2019  7:51:29 AM,160.1, No Probe, No Probe,200.7
Sep 8  2019  7:53:32 AM,160.3, No Probe, No Probe,233.8
Sep 8  2019  7:53:42 AM,160.3, No Probe, No Probe,234.8
Sep 8  2019  7:53:52 AM,160.3, No Probe, No Probe,235.9
Sep 8  2019  7:54:02 AM,160.3, No Probe, No Probe,236.6
Sep 8  2019  7:54:12 AM,160.3, No Probe, No Probe,237.6
Sep 8  2019  7:54:22 AM,160.3, No Probe, No Probe,238.5
Sep 8  2019  7:54:32 AM,160.3, No Probe, No Probe,238.9
Sep 8  2019  7:54:42 AM,160.3, No Probe, No Probe,239.5
Sep 8  2019  7:54:52 AM,160.3, No Probe, No Probe,239.6
Sep 8  2019  7:55:02 AM,160.3, No Probe, No Probe,239.9
Sep 8  2019  7:55:12 AM,160.3, No Probe, No Probe,239.5
Sep 8  2019  7:55:22 AM,160.3, No Probe, No Probe,239.6
Sep 8  2019  7:55:33 AM,160.4, No Probe, No Probe,239.6
Sep 8  2019  7:55:42 AM,160.3, No Probe, No Probe,239.6
Sep 8  2019  7:55:52 AM,160.3, No Probe, No Probe,239.5
Sep 8  2019  7:56:03 AM,160.4, No Probe, No Probe,239.6
Sep 8  2019  7:56:12 AM,160.4, No Probe, No Probe,239.9
Sep 8  2019  7:56:22 AM,160.4, No Probe, No Probe,239.5
Sep 8  2019  7:56:33 AM,160.3, No Probe, No Probe,239.6
Sep 8  2019  7:56:43 AM,160.4, No Probe, No Probe,239.5
Sep 8  2019  7:56:53 AM,160.4, No Probe, No Probe,239.2
Sep 8  2019  7:57:03 AM,160.4, No Probe, No Probe,239.4
Sep 8  2019  7:57:14 AM,160.4, No Probe, No Probe,238.9
Sep 8  2019  7:57:23 AM,160.4, No Probe, No Probe,238.8
Sep 8  2019  7:57:33 AM,160.4, No Probe, No Probe,238.7
Sep 8  2019  7:57:43 AM,160.4, No Probe, No Probe,238.5
Sep 8  2019  7:57:53 AM,160.3, No Probe, No Probe,238.4
Sep 8  2019  7:58:03 AM,160.4, No Probe, No Probe,238.2
Sep 8  2019  7:58:13 AM,160.4, No Probe, No Probe,237.9
Sep 8  2019  7:58:23 AM,160.4, No Probe, No Probe,237.8
Sep 8  2019  7:58:33 AM,160.4, No Probe, No Probe,237.4
Sep 8  2019  7:58:43 AM,160.5, No Probe, No Probe,237.4
Sep 8  2019  7:58:53 AM,160.4, No Probe, No Probe,237.3
Sep 8  2019  7:59:03 AM,160.4, No Probe, No Probe,237.1
Sep 8  2019  7:59:13 AM,160.4, No Probe, No Probe,236.8
Sep 8  2019  7:59:23 AM,160.4, No Probe, No Probe,236.6
Sep 8  2019  7:59:30 AM,160.5, No Probe, No Probe,236.3
Sep 8  2019  7:59:40 AM,160.4, No Probe, No Probe,235.8
Sep 8  2019  7:59:50 AM,160.4, No Probe, No Probe,235.5
Sep 8  2019  8:00:00 AM,160.4, No Probe, No Probe,235.2
Sep 8  2019  8:00:10 AM,160.5, No Probe, No Probe,234.8
Sep 8  2019  8:00:20 AM,160.5, No Probe, No Probe,234.4
Sep 8  2019  8:00:30 AM,160.5, No Probe, No Probe,233.8
Sep 8  2019  8:00:41 AM,160.4, No Probe, No Probe,234.3
Sep 8  2019  8:00:50 AM,160.5, No Probe, No Probe,234.1
Sep 8  2019  8:01:00 AM,160.5, No Probe, No Probe,233.8
Sep 8  2019  8:01:10 AM,160.5, No Probe, No Probe,233.8
Sep 8  2019  8:01:20 AM,160.5, No Probe, No Probe,233.5
Sep 8  2019  8:01:30 AM,160.4, No Probe, No Probe,233.2
Sep 8  2019  8:01:40 AM,160.4, No Probe, No Probe,233.0
Sep 8  2019  8:01:50 AM,160.4, No Probe, No Probe,232.7
Sep 8  2019  8:02:00 AM,160.5, No Probe, No Probe,232.4
Sep 8  2019  8:02:11 AM,160.4, No Probe, No Probe,232.2
Sep 8  2019  8:02:20 AM,160.5, No Probe, No Probe,231.9
Sep 8  2019  8:02:30 AM,160.5, No Probe, No Probe,231.7
Sep 8  2019  8:02:40 AM,160.5, No Probe, No Probe,231.4
Sep 8  2019  8:02:50 AM,160.5, No Probe, No Probe,231.2
Sep 8  2019  8:03:00 AM,160.5, No Probe, No Probe,230.8
Sep 8  2019  8:03:10 AM,160.5, No Probe, No Probe,230.5
Sep 8  2019  8:03:20 AM,160.5, No Probe, No Probe,230.0
Sep 8  2019  8:03:30 AM,160.5, No Probe, No Probe,229.9
Sep 8  2019  8:03:40 AM,160.5, No Probe, No Probe,229.9
Sep 8  2019  8:03:50 AM,160.5, No Probe, No Probe,229.8
Sep 8  2019  8:04:00 AM,160.6, No Probe, No Probe,229.5
Sep 8  2019  8:04:10 AM,160.5, No Probe, No Probe,229.1
Sep 8  2019  8:04:20 AM,160.5, No Probe, No Probe,228.8
Sep 8  2019  8:04:30 AM,160.5, No Probe, No Probe,229.1
Sep 8  2019  8:04:40 AM,160.5, No Probe, No Probe,228.8
Sep 8  2019  8:04:50 AM,160.5, No Probe, No Probe,228.9
Sep 8  2019  8:05:00 AM,160.5, No Probe, No Probe,228.6
Sep 8  2019  8:05:10 AM,160.5, No Probe, No Probe,228.7
Sep 8  2019  8:05:23 AM,160.6, No Probe, No Probe,228.2
Sep 8  2019  8:05:33 AM,160.6, No Probe, No Probe,227.9
Sep 8  2019  8:05:44 AM,160.5, No Probe, No Probe,227.6
Sep 8  2019  8:05:53 AM,160.5, No Probe, No Probe,227.3
Sep 8  2019  8:06:03 AM,160.6, No Probe, No Probe,227.3
Sep 8  2019  8:06:13 AM,160.5, No Probe, No Probe,227.4
Sep 8  2019  8:06:23 AM,160.5, No Probe, No Probe,227.1
Sep 8  2019  8:06:33 AM,160.6, No Probe, No Probe,227.2
Sep 8  2019  8:06:43 AM,160.6, No Probe, No Probe,226.8
Sep 8  2019  8:06:53 AM,160.6, No Probe, No Probe,226.6
Sep 8  2019  8:07:03 AM,160.6, No Probe, No Probe,226.3
Sep 8  2019  8:07:13 AM,160.6, No Probe, No Probe,226.4
Sep 8  2019  8:07:23 AM,160.6, No Probe, No Probe,226.1
Sep 8  2019  8:07:33 AM,160.6, No Probe, No Probe,225.5
Sep 8  2019  8:07:43 AM,160.6, No Probe, No Probe,225.2
Sep 8  2019  8:07:53 AM,160.6, No Probe, No Probe,225.5
Sep 8  2019  8:08:03 AM,160.6, No Probe, No Probe,225.1
Sep 8  2019  8:08:13 AM,160.7, No Probe, No Probe,225.3
Sep 8  2019  8:08:23 AM,160.6, No Probe, No Probe,224.9
Sep 8  2019  8:08:33 AM,160.6, No Probe, No Probe,223.8
Sep 8  2019  8:08:43 AM,160.6, No Probe, No Probe,222.8
Sep 8  2019  8:08:53 AM,160.7, No Probe, No Probe,222.3
Sep 8  2019  8:09:03 AM,160.6, No Probe, No Probe,222.1
Sep 8  2019  8:09:13 AM,160.7, No Probe, No Probe,222.4
Sep 8  2019  8:09:23 AM,160.6, No Probe, No Probe,221.9
Sep 8  2019  8:09:33 AM,160.7, No Probe, No Probe,222.2
Sep 8  2019  8:09:43 AM,160.6, No Probe, No Probe,222.3
Sep 8  2019  8:09:53 AM,160.7, No Probe, No Probe,222.6
Sep 8  2019  8:10:04 AM,160.7, No Probe, No Probe,222.9
Sep 8  2019  8:10:14 AM,160.7, No Probe, No Probe,223.8
Sep 8  2019  8:10:24 AM,160.7, No Probe, No Probe,224.6
Sep 8  2019  8:10:34 AM,160.7, No Probe, No Probe,225.9
Sep 8  2019  8:10:44 AM,160.7, No Probe, No Probe,228.5
Sep 8  2019  8:10:54 AM,160.7, No Probe, No Probe,229.8
Sep 8  2019  8:11:04 AM,160.7, No Probe, No Probe,231.2
Sep 8  2019  8:11:14 AM,160.7, No Probe, No Probe,232.3
Sep 8  2019  8:11:19 AM,160.7, No Probe, No Probe,233.0
Sep 8  2019  8:11:29 AM,160.7, No Probe, No Probe,233.2
Sep 8  2019  8:11:39 AM,160.7, No Probe, No Probe,233.6
Sep 8  2019  8:11:49 AM,160.7, No Probe, No Probe,234.1
Sep 8  2019  8:11:59 AM,160.8, No Probe, No Probe,234.8
Sep 8  2019  8:12:10 AM,160.8, No Probe, No Probe,235.3
Sep 8  2019  8:12:19 AM,160.8, No Probe, No Probe,235.5
Sep 8  2019  8:12:29 AM,160.8, No Probe, No Probe,235.6
Sep 8  2019  8:12:39 AM,160.8, No Probe, No Probe,235.9
Sep 8  2019  8:12:49 AM,160.8, No Probe, No Probe,235.9
Sep 8  2019  8:12:59 AM,160.8, No Probe, No Probe,236.2
Sep 8  2019  8:13:09 AM,160.8, No Probe, No Probe,236.0
Sep 8  2019  8:13:19 AM,160.8, No Probe, No Probe,236.1
Sep 8  2019  8:13:29 AM,160.8, No Probe, No Probe,236.1
Sep 8  2019  8:13:39 AM,160.7, No Probe, No Probe,236.2
Sep 8  2019  8:13:49 AM,160.8, No Probe, No Probe,236.1
Sep 8  2019  8:13:59 AM,160.8, No Probe, No Probe,235.5
Sep 8  2019  8:14:09 AM,160.8, No Probe, No Probe,235.6
Sep 8  2019  8:14:19 AM,160.8, No Probe, No Probe,235.3
Sep 8  2019  8:14:29 AM,160.8, No Probe, No Probe,235.1
Sep 8  2019  8:14:39 AM,160.8, No Probe, No Probe,234.6
Sep 8  2019  8:14:49 AM,160.8, No Probe, No Probe,234.5
Sep 8  2019  8:14:59 AM,160.8, No Probe, No Probe,234.2
Sep 8  2019  8:15:09 AM,160.8, No Probe, No Probe,234.2
Sep 8  2019  8:15:19 AM,160.8, No Probe, No Probe,233.7
Sep 8  2019  8:15:29 AM,160.8, No Probe, No Probe,233.5
Sep 8  2019  8:15:39 AM,160.8, No Probe, No Probe,233.2
Sep 8  2019  8:15:49 AM,160.8, No Probe, No Probe,232.7
Sep 8  2019  8:16:00 AM,160.8, No Probe, No Probe,232.3
Sep 8  2019  8:16:09 AM,160.8, No Probe, No Probe,232.2
Sep 8  2019  8:16:19 AM,160.8, No Probe, No Probe,232.2
Sep 8  2019  8:16:30 AM,160.8, No Probe, No Probe,231.9
Sep 8  2019  8:16:39 AM,160.8, No Probe, No Probe,231.5
Sep 8  2019  8:16:49 AM,160.8, No Probe, No Probe,231.4
Sep 8  2019  8:17:00 AM,160.8, No Probe, No Probe,231.2
Sep 8  2019  8:17:09 AM,160.8, No Probe, No Probe,230.6
Sep 8  2019  8:17:19 AM,160.8, No Probe, No Probe,230.1
Sep 8  2019  8:17:29 AM,160.8, No Probe, No Probe,229.6
Sep 8  2019  8:17:36 AM,160.8, No Probe, No Probe,229.6
Sep 8  2019  8:17:45 AM,160.8, No Probe, No Probe,229.3
Sep 8  2019  8:17:55 AM,160.8, No Probe, No Probe,228.6
Sep 8  2019  8:18:06 AM,160.8, No Probe, No Probe,228.6
Sep 8  2019  8:18:16 AM,160.8, No Probe, No Probe,228.2
Sep 8  2019  8:18:26 AM,160.8, No Probe, No Probe,227.9
Sep 8  2019  8:18:36 AM,160.8, No Probe, No Probe,227.6
Sep 8  2019  8:18:46 AM,160.8, No Probe, No Probe,227.5
Sep 8  2019  8:18:56 AM,160.8, No Probe, No Probe,227.2
Sep 8  2019  8:19:06 AM,160.8, No Probe, No Probe,226.7
Sep 8  2019  8:19:16 AM,160.8, No Probe, No Probe,226.7
Sep 8  2019  8:19:26 AM,160.8, No Probe, No Probe,226.5
Sep 8  2019  8:19:36 AM,160.8, No Probe, No Probe,226.1
Sep 8  2019  8:19:46 AM,160.8, No Probe, No Probe,226.1
Sep 8  2019  8:19:56 AM,160.8, No Probe, No Probe,226.2
Sep 8  2019  8:20:06 AM,160.8, No Probe, No Probe,225.9
Sep 8  2019  8:20:16 AM,160.8, No Probe, No Probe,225.6
Sep 8  2019  8:20:26 AM,160.8, No Probe, No Probe,225.4
Sep 8  2019  8:20:36 AM,160.8, No Probe, No Probe,225.0
Sep 8  2019  8:20:46 AM,160.8, No Probe, No Probe,225.1
Sep 8  2019  8:20:56 AM,160.8, No Probe, No Probe,225.0
Sep 8  2019  8:21:06 AM,160.8, No Probe, No Probe,224.3
Sep 8  2019  8:21:16 AM,160.8, No Probe, No Probe,223.7
Sep 8  2019  8:21:26 AM,160.8, No Probe, No Probe,223.2
Sep 8  2019  8:21:36 AM,160.7, No Probe, No Probe,222.9
Sep 8  2019  8:21:46 AM,160.8, No Probe, No Probe,223.1
Sep 8  2019  8:21:56 AM,160.8, No Probe, No Probe,222.7
Sep 8  2019  8:22:06 AM,160.8, No Probe, No Probe,222.7
Sep 8  2019  8:22:16 AM,160.8, No Probe, No Probe,222.8
Sep 8  2019  8:22:26 AM,160.8, No Probe, No Probe,223.1
Sep 8  2019  8:22:36 AM,160.8, No Probe, No Probe,223.9
Sep 8  2019  8:22:46 AM,160.8, No Probe, No Probe,224.7
Sep 8  2019  8:22:56 AM,160.8, No Probe, No Probe,226.3
Sep 8  2019  8:23:06 AM,160.8, No Probe, No Probe,228.0
Sep 8  2019  8:23:17 AM,160.8, No Probe, No Probe,229.1
Sep 8  2019  8:23:27 AM,160.8, No Probe, No Probe,230.2
Sep 8  2019  8:23:37 AM,160.8, No Probe, No Probe,231.0
Sep 8  2019  8:23:47 AM,160.8, No Probe, No Probe,231.5
Sep 8  2019  8:23:57 AM,160.8, No Probe, No Probe,232.0
Sep 8  2019  8:24:07 AM,160.8, No Probe, No Probe,232.7
Sep 8  2019  8:24:17 AM,160.8, No Probe, No Probe,232.9
Sep 8  2019  8:24:27 AM,160.8, No Probe, No Probe,233.3
Sep 8  2019  8:24:37 AM,160.8, No Probe, No Probe,233.5
Sep 8  2019  8:24:47 AM,160.8, No Probe, No Probe,233.8
Sep 8  2019  8:24:57 AM,160.8, No Probe, No Probe,233.8
Sep 8  2019  8:25:07 AM,160.8, No Probe, No Probe,234.0
Sep 8  2019  8:25:17 AM,160.8, No Probe, No Probe,234.4
Sep 8  2019  8:25:27 AM,160.8, No Probe, No Probe,234.3
Sep 8  2019  8:25:37 AM,160.8, No Probe, No Probe,233.9
Sep 8  2019  8:25:47 AM,160.8, No Probe, No Probe,233.8
Sep 8  2019  8:25:57 AM,160.8, No Probe, No Probe,233.9
Sep 8  2019  8:26:07 AM,160.8, No Probe, No Probe,233.3
Sep 8  2019  8:26:17 AM,160.8, No Probe, No Probe,233.0
Sep 8  2019  8:26:27 AM,160.8, No Probe, No Probe,232.8
Sep 8  2019  8:26:37 AM,160.8, No Probe, No Probe,232.9
Sep 8  2019  8:26:47 AM,160.8, No Probe, No Probe,232.7
Sep 8  2019  8:26:57 AM,160.8, No Probe, No Probe,232.4
Sep 8  2019  8:27:07 AM,160.8, No Probe, No Probe,232.2
Sep 8  2019  8:27:17 AM,160.8, No Probe, No Probe,232.0
Sep 8  2019  8:27:27 AM,160.8, No Probe, No Probe,232.1
Sep 8  2019  8:27:37 AM,160.8, No Probe, No Probe,231.9
Sep 8  2019  8:27:47 AM,160.8, No Probe, No Probe,231.6
Sep 8  2019  8:27:57 AM,160.8, No Probe, No Probe,231.2
Sep 8  2019  8:28:07 AM,160.8, No Probe, No Probe,230.8
Sep 8  2019  8:28:17 AM,160.8, No Probe, No Probe,230.3
Sep 8  2019  8:28:27 AM,160.8, No Probe, No Probe,229.6
Sep 8  2019  8:28:37 AM,160.8, No Probe, No Probe,229.6
Sep 8  2019  8:28:48 AM,160.8, No Probe, No Probe,229.2
Sep 8  2019  8:28:57 AM,160.8, No Probe, No Probe,228.8
Sep 8  2019  8:29:07 AM,160.8, No Probe, No Probe,228.4
Sep 8  2019  8:29:13 AM,160.8, No Probe, No Probe,228.4
Sep 8  2019  8:29:23 AM,160.8, No Probe, No Probe,227.9
Sep 8  2019  8:29:33 AM,160.7, No Probe, No Probe,227.6
Sep 8  2019  8:29:43 AM,160.8, No Probe, No Probe,227.4
Sep 8  2019  8:29:53 AM,160.8, No Probe, No Probe,227.3
Sep 8  2019  8:30:03 AM,160.8, No Probe, No Probe,226.9
Sep 8  2019  8:30:13 AM,160.7, No Probe, No Probe,226.9
Sep 8  2019  8:30:23 AM,160.8, No Probe, No Probe,226.6
Sep 8  2019  8:30:33 AM,160.8, No Probe, No Probe,226.2
Sep 8  2019  8:30:43 AM,160.7, No Probe, No Probe,226.0
Sep 8  2019  8:30:53 AM,160.7, No Probe, No Probe,225.8
Sep 8  2019  8:31:03 AM,160.8, No Probe, No Probe,225.6
Sep 8  2019  8:31:13 AM,160.7, No Probe, No Probe,225.5
Sep 8  2019  8:31:23 AM,160.7, No Probe, No Probe,225.3
Sep 8  2019  8:31:33 AM,160.7, No Probe, No Probe,224.5
Sep 8  2019  8:31:43 AM,160.7, No Probe, No Probe,223.9
Sep 8  2019  8:31:53 AM,160.7, No Probe, No Probe,223.5
Sep 8  2019  8:32:03 AM,160.8, No Probe, No Probe,223.1
Sep 8  2019  8:32:13 AM,160.7, No Probe, No Probe,223.1
Sep 8  2019  8:32:23 AM,160.7, No Probe, No Probe,223.0
Sep 8  2019  8:32:33 AM,160.7, No Probe, No Probe,223.1
Sep 8  2019  8:32:43 AM,160.7, No Probe, No Probe,223.8
Sep 8  2019  8:32:53 AM,160.7, No Probe, No Probe,224.3
Sep 8  2019  8:33:03 AM,160.7, No Probe, No Probe,224.8
Sep 8  2019  8:33:13 AM,160.7, No Probe, No Probe,226.3
Sep 8  2019  8:33:24 AM,160.7, No Probe, No Probe,227.5
Sep 8  2019  8:33:33 AM,160.7, No Probe, No Probe,228.1
Sep 8  2019  8:33:43 AM,160.7, No Probe, No Probe,228.7
Sep 8  2019  8:33:54 AM,160.7, No Probe, No Probe,229.5
